respondent_id,region,department,employment_type,age,user_language,sentiment_1,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,sentiment_10,sentiment_11,sentiment_12,sentiment_13,sentiment_14,sentiment_15,sentiment_16,sentiment_17,sentiment_18,sentiment_19,sentiment_20,sentiment_21,sentiment_22,sentiment_23,sentiment_24,sentiment_25
NOV_RESP_0001,Asia Pacific,Marketing,<3 year,35-45,EN,2.5845138758562953,2.8493394947256085,1.9001089781071379,2.565308043120267,1.6446446896255031,2.314960755251232,2.5354360450021565,2.035468451875922,2.667897867938918,2.3755573583423755,2.0602147109921454,1.8502347273944388,1.6586169201033951,2.2455151808890363,2.17345788557263,2.3759435515696863,2.0334262038973883,1.7618820779425253,3.1432718668298016,2.032462830749353,1.6496550196253321,2.6527455811770375,1.268880746341296,3.244220195698577,2.0728935019469015
NOV_RESP_0002,North America,Finance,10-20 year,<25,EN,1.952436889282649,2.6399269947924884,1.740967178216461,2.671468254048209,1.6764540643997796,2.04229924376557,2.5836607131785634,2.577291335752834,2.80684602190275,2.394794946632887,1.9296410110772968,1.4605487730371998,1.5547308438722973,2.0457833056269084,2.4503413765039945,2.676676176506001,1.448479946447355,1.8692396422879798,2.6581485489328,1.7147586493017135,1.9994832461937222,2.2798436781111677,2.027891123570823,2.563230245760347,1.6948088105810226
NOV_RESP_0003,Asia Pacific,Engineering,>20 year,45-55,EN,2.165068349468422,2.246552500850927,1.7879029722421793,2.159973798242711,2.6535114816985166,2.9714869596199307,2.494874424273875,2.7244761988982917,2.8127368674251225,2.2142646793930716,2.1348307215413826,2.617779944642297,1.865341253789794,2.894708548695139,1.0659336832018325,2.7115037389402508,2.041525728798575,1.6346504805399606,2.8080160555436464,1.3629327203610135,1.7631613727144213,1.8438987489306533,2.1717766789449344,2.652326321489235,1.4267634114517889
NOV_RESP_0004,Europe,Product,<3 year,<25,EN,2.1519965263019953,2.3642946345503537,1.8447367745588035,2.4111500461807647,1.8295049849984721,2.371596524213535,2.8958780997197473,2.217663594570133,2.448817191520894,2.419816745139263,2.230411685235697,1.531602036591077,1.4607596734430188,2.3661862180786257,1.564361240876744,3.202432719647852,1.8569210554346904,1.4633502259989437,2.5126799495789207,1.787419621972222,1.6943767384811574,1.216341227998422,2.104746403791913,2.8883107737199194,1.799554128423489
NOV_RESP_0005,Europe,Finance,3-10 year,35-45,EN,1.9366533323756703,2.0755571331006104,2.122551805248774,2.3468915513494446,2.186960803835417,2.469686044301348,2.7282776639915967,2.1966003408565693,2.468914464263962,2.3896147882816,2.147229979561201,2.0470364293300354,2.1643569245799252,1.7996130183502428,1.7607808299350551,2.8216971079213526,1.6544918815145317,2.296149553780074,3.263911136296708,2.5176506325162658,1.377823282667144,1.7824589722928113,1.4575371466856744,3.229835959563835,2.3824458406215294
NOV_RESP_0006,Asia Pacific,Product,10-20 year,35-45,EN,2.6051616813098217,2.0614097466172714,2.0438873511518643,2.426885848501662,2.569814216932482,2.8433086303582287,2.4485019169922704,2.62713893198183,3.0321216315605177,2.6225801910018167,1.4734038466814112,1.6322666993063126,2.1770198781145504,1.54006073734159,2.043559760587652,2.8193614542159073,2.1407498609328957,1.6782270118842009,2.5114151954634214,2.306452787307409,2.0141561136529664,1.6701615013041509,1.991824017928318,3.2066166132571228,2.5023045027959783
NOV_RESP_0007,Europe,Engineering,10-20 year,<25,EN,3.054109113740726,2.5520344641694352,1.7709640793535055,2.7459478845416387,2.047579579379809,2.9674711312208046,2.916468402280801,2.0068163458173705,2.8867696938477745,2.6467324307022655,2.349899182595529,2.8336881645756167,1.7676724909794195,1.948300668062237,1.6534411784473253,2.477156527395389,1.9529894922004007,1.8742616556007892,2.9731894315098937,2.390656710404163,1.8842379611934286,2.335959361275463,1.5478746991580123,3.2459252561731082,2.1192517916158136
NOV_RESP_0008,Asia Pacific,Marketing,10-20 year,<25,EN,2.034487867907952,1.7799602354060886,2.033236470353369,2.669600084722678,2.564543425190679,2.5466005375899017,2.4849843855237324,2.982211774362595,3.161472568705125,2.2125727008777196,1.8411356261514462,2.043002746738471,1.146790275593429,1.723357484694467,1.4382327687138643,2.315135846216591,2.3682179749173087,1.4368144635320683,2.5249867182932273,2.372618444893615,1.6304781422844352,1.9371521367063904,1.3297576638620252,2.4742714403738804,1.9797407317327713
NOV_RESP_0009,Europe,Sales,3-10 year,<25,EN,2.033993291876694,2.4437432705389694,1.93799322681987,2.5561030167174996,1.841925931320042,3.115493737439661,2.1639746337764127,2.7238940941395566,2.799286447549083,2.525526993164645,2.119487701399095,1.2629916266329235,2.2275419768784634,2.0338086639582085,2.55025628609133,2.5380276268299067,1.8964018504792655,1.350442263311223,2.5450420650189334,2.1544104196652687,1.28209399460967,1.1938177872234956,1.346997786302706,3.22038957109415,2.5236321328746176
NOV_RESP_0010,North America,Product,3-10 year,<25,EN,2.140020254880418,1.8706183867673383,2.061870788645864,2.672961817327949,2.566582980701191,3.1502489945296857,2.5538223948104064,2.8717481687586655,2.5528965244470783,2.488371598794693,1.861042491694597,1.7431456444624371,1.7833559586600902,2.18803826297325,1.8266301821580146,2.3832209192911105,2.4093236585320024,2.4603548684369705,2.7739599249652076,1.9927037984724578,2.0493745386671036,3.0858162746544195,1.5650578824656727,3.2775019272430446,2.4387001961829284
